Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Sharma A., Lal S.K.","57188760542;7203074991;","Is tetherin a true antiviral: The influenza a virus controversy",2019,"Reviews in Medical Virology","29","3", e2036,"","",,,"10.1002/rmv.2036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060935170&doi=10.1002%2frmv.2036&partnerID=40&md5=8b8283d5df45b4483a3e332930cde0ac","School of Science, Monash University, Sunway Campus, Bandar Sunway, Malaysia","Sharma, A., School of Science, Monash University, Sunway Campus, Bandar Sunway, Malaysia; Lal, S.K., School of Science, Monash University, Sunway Campus, Bandar Sunway, Malaysia",Review,"Final",,Scopus,2-s2.0-85060935170
"Virk N.A., Aziz-Ur-Rehman, Abbasi M.A., Siddiqui S.Z., Ashraf A., Iqbal J., Rasool S., Khalid H., Laulloo S.J., Khan S.U., Shah S.A.A.","57053088900;35311779500;7004042601;36240735500;40361043500;56746516200;55618187900;55584005500;6504228887;57209807749;56041213000;","Biological screening and docking studies of unique hybrids synthesized by conventional versus microwave-assisted techniques",2019,"Tropical Journal of Pharmaceutical Research","18","5",,"1109","1117",,,"10.4314/tjpr.v18i5.28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068772362&doi=10.4314%2ftjpr.v18i5.28&partnerID=40&md5=93f844ccbbaab7d5ea5beb00b0f60cbe","Department of Chemistry, Government College University, Lahore, 54000, Pakistan; Department of Zoology, Government College University, Faisalabad, 38040, Pakistan; Department of Chemistry, University of Lahore54600, Pakistan; Department of Chemistry, Forman Christian College University, Lahore, 54600, Pakistan; Department of Chemistry, University of Mauritius, Reduit, Mauritius; School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia; Faculty of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia; Atta-ur-Rahman Institute for Natural Products Discovery (AuRIns), Universiti Teknologi MARA, Puncak Alam Campus, Bandar, Puncak Alam, Selangor Darul Ehsan  42300, Malaysia","Virk, N.A., Department of Chemistry, Government College University, Lahore, 54000, Pakistan; Aziz-Ur-Rehman, Department of Chemistry, Government College University, Lahore, 54000, Pakistan; Abbasi, M.A., Department of Chemistry, Government College University, Lahore, 54000, Pakistan; Siddiqui, S.Z., Department of Chemistry, Government College University, Lahore, 54000, Pakistan; Ashraf, A., Department of Zoology, Government College University, Faisalabad, 38040, Pakistan; Iqbal, J., Department of Chemistry, University of Lahore54600, Pakistan; Rasool, S., Department of Chemistry, Government College University, Lahore, 54000, Pakistan; Khalid, H., Department of Chemistry, Forman Christian College University, Lahore, 54600, Pakistan; Laulloo, S.J., Department of Chemistry, University of Mauritius, Reduit, Mauritius; Khan, S.U., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia; Shah, S.A.A., Faculty of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia, Atta-ur-Rahman Institute for Natural Products Discovery (AuRIns), Universiti Teknologi MARA, Puncak Alam Campus, Bandar, Puncak Alam, Selangor Darul Ehsan  42300, Malaysia",Article,"Final",,Scopus,2-s2.0-85068772362
"Kamaruzman N.I., Aziz N.A., Poh C.L., Chowdhury E.H.","57200423979;57209908022;55663283400;7004901564;","Oncogenic signaling in tumorigenesis and applications of siRNA nanotherapeutics in breast cancer",2019,"Cancers","11","5", 632,"","",,,"10.3390/cancers11050632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067058872&doi=10.3390%2fcancers11050632&partnerID=40&md5=cf7b328d23842df246b7f643df9a568d","Department of Biomedical Science, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; Centre for Virus and Vaccine Research (CVVR), Sunway University, Subang Jaya, Selangor  47500, Malaysia; Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Subang Jaya, Selangor  47500, Malaysia","Kamaruzman, N.I., Department of Biomedical Science, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; Aziz, N.A., Centre for Virus and Vaccine Research (CVVR), Sunway University, Subang Jaya, Selangor  47500, Malaysia; Poh, C.L., Centre for Virus and Vaccine Research (CVVR), Sunway University, Subang Jaya, Selangor  47500, Malaysia; Chowdhury, E.H., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Subang Jaya, Selangor  47500, Malaysia",Article,"Final",Open Access,Scopus,2-s2.0-85067058872
"Goh H.W., Lem K.S., Azizan N.A., Chang C.K., Talei A., Leow C.S., Zakaria N.A.","56844924900;57208283754;57209087683;56762965200;36094737600;26659062800;57202954339;","A review of bioretention components and nutrient removal under different climates—future directions for tropics",2019,"Environmental Science and Pollution Research","26","15",,"14904","14919",,,"10.1007/s11356-019-05041-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064351049&doi=10.1007%2fs11356-019-05041-0&partnerID=40&md5=40f147ee180896b13758335235f302fa","River Engineering and Urban Drainage Research Centre (REDAC), Universiti Sains Malaysia, Engineering Campus, Nibong Tebal, Penang, Malaysia; Discipline of Civil Engineering, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Jacobs’ Water Scotland team, Jacobs UK Ltd, Edinburgh, United Kingdom","Goh, H.W., River Engineering and Urban Drainage Research Centre (REDAC), Universiti Sains Malaysia, Engineering Campus, Nibong Tebal, Penang, Malaysia; Lem, K.S., River Engineering and Urban Drainage Research Centre (REDAC), Universiti Sains Malaysia, Engineering Campus, Nibong Tebal, Penang, Malaysia; Azizan, N.A., River Engineering and Urban Drainage Research Centre (REDAC), Universiti Sains Malaysia, Engineering Campus, Nibong Tebal, Penang, Malaysia; Chang, C.K., River Engineering and Urban Drainage Research Centre (REDAC), Universiti Sains Malaysia, Engineering Campus, Nibong Tebal, Penang, Malaysia; Talei, A., Discipline of Civil Engineering, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Leow, C.S., Jacobs’ Water Scotland team, Jacobs UK Ltd, Edinburgh, United Kingdom; Zakaria, N.A., River Engineering and Urban Drainage Research Centre (REDAC), Universiti Sains Malaysia, Engineering Campus, Nibong Tebal, Penang, Malaysia",Review,"Final",,Scopus,2-s2.0-85064351049
"Chiew K.L., Tan C.L., Wong K., Yong K.S.C., Tiong W.K.","35197763200;56528719900;14833694300;55806884400;24077309500;","A new hybrid ensemble feature selection framework for machine learning-based phishing detection system",2019,"Information Sciences","484",,,"153","166",,1,"10.1016/j.ins.2019.01.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060880885&doi=10.1016%2fj.ins.2019.01.064&partnerID=40&md5=e3dd816e70660a793aae238b30bd2fe0","Faculty of Computer Science and Information Technology, Universiti Malaysia Sarawak, Kota Samarahan, Sarawak  94300, Malaysia; School of Information Technology, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Department of Electrical and Computer Engineering, Faculty of Engineering and Science, Curtin University, CDT 250, Miri, Sarawak  98009, Malaysia","Chiew, K.L., Faculty of Computer Science and Information Technology, Universiti Malaysia Sarawak, Kota Samarahan, Sarawak  94300, Malaysia; Tan, C.L., Faculty of Computer Science and Information Technology, Universiti Malaysia Sarawak, Kota Samarahan, Sarawak  94300, Malaysia; Wong, K., School of Information Technology, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Yong, K.S.C., Department of Electrical and Computer Engineering, Faculty of Engineering and Science, Curtin University, CDT 250, Miri, Sarawak  98009, Malaysia; Tiong, W.K., Faculty of Computer Science and Information Technology, Universiti Malaysia Sarawak, Kota Samarahan, Sarawak  94300, Malaysia",Article,"Final",,Scopus,2-s2.0-85060880885
"Foo Y.-T., Abdullah A.Z., Amini Horri B., Salamatinia B.","57195578941;7102085849;57204495300;23482526700;","Ammonium oxalate-assisted synthesis of Gd 2 O 3 nanopowders",2019,"Ceramics International","45","7",,"9082","9091",,,"10.1016/j.ceramint.2019.01.245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060864341&doi=10.1016%2fj.ceramint.2019.01.245&partnerID=40&md5=8a26f58fcd8029f85fb94aa786067c9f","Discipline of Chemical Engineering, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia; School of Chemical Engineering, Engineering Campus, Universiti Sains Malaysia, Nibong Tebal, Penang  14300, Malaysia; Department of Chemical & Process Engineering, Faculty of Engineering and Physical Sciences, University of SurreySurrey  GU2 7XH, United Kingdom","Foo, Y.-T., Discipline of Chemical Engineering, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia; Abdullah, A.Z., School of Chemical Engineering, Engineering Campus, Universiti Sains Malaysia, Nibong Tebal, Penang  14300, Malaysia; Amini Horri, B., Department of Chemical & Process Engineering, Faculty of Engineering and Physical Sciences, University of SurreySurrey  GU2 7XH, United Kingdom; Salamatinia, B., Discipline of Chemical Engineering, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85060864341
"Alipour H., Namazi H., Azarnoush H., Jafari S.","57207107386;55308641800;35085758700;55196116900;","Fractal-based analysis of the influence of color tonality on human eye movements",2019,"Fractals","27","3", 1950040,"","",,6,"10.1142/S0218348X19500403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064253366&doi=10.1142%2fS0218348X19500403&partnerID=40&md5=f853bc62f80451537877fbb748d3cd2e","Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; School of Engineering, Monash University, Selangor, Malaysia","Alipour, H., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Namazi, H., School of Engineering, Monash University, Selangor, Malaysia; Azarnoush, H., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Jafari, S., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran",Article,"Final",,Scopus,2-s2.0-85064253366
"Alipour H., Namazi H., Azarnoush H., Jafari S.","57207107386;55308641800;35085758700;55196116900;","Complexity-based analysis of the relation between moving visual stimuli and human eye movement",2019,"Fractals","27","3", 1950024,"","",,10,"10.1142/S0218348X19500245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059874402&doi=10.1142%2fS0218348X19500245&partnerID=40&md5=0741b47fc6ab8d2b95da53b0717b544d","Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; School of Engineering, Monash University, Selangor, Malaysia","Alipour, H., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Namazi, H., School of Engineering, Monash University, Selangor, Malaysia; Azarnoush, H., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Jafari, S., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran",Article,"Final",,Scopus,2-s2.0-85059874402
"Tanvejsilp P., Taychakhoonavudh S., Chaikledkaew U., Chaiyakunapruk N., Ngorsuraches S.","55390506800;56196894400;23993682600;14015058100;15064227000;","Revisit Roles of HTA on Drug Policy in Universal Health Coverage in Thailand: Where Are We? And What Is Next?",2019,"Value in Health Regional Issues","18",,,"78","82",,,"10.1016/j.vhri.2018.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059820426&doi=10.1016%2fj.vhri.2018.11.004&partnerID=40&md5=2a5355781c4e079137781a41dd837745","Department of Pharmacy Administration, Faculty of Pharmaceutical Sciences, Prince of Songkla University, Hat Yai, Songkhla, Thailand; Faculty of Pharmaceutical Sciences, Chulalongkorn University, Bangkok, Thailand, Thailand; Social Administrative Pharmacy Excellence Research Unit, Department of Pharmacy, Faculty of Pharmacy, Mahidol University, Bangkok, Thailand, Thailand; Health Technology Assessment (HTA) Postgraduate Program, Mahidol University, Bangkok, Thailand, Thailand; School of Pharmacy, Monash University Malaysia, Selangor, Malaysia; Department of Pharmacy Practice, Faculty of Pharmaceutical Sciences, Center of Pharmaceutical Outcomes Research, Naresuan University, Phitsanulok, Thailand; School of Pharmacy, University of Wisconsin, Madison, WI, United States; Asian Center of Evidence Synthesis in Population, Implementation and Clinical Outcomes, Health and Well-Being Cluster, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Selangor, Malaysia; Department of Health Outcomes Research and Policy, Harrison School of Pharmacy, Auburn University, Auburn, AL, United States","Tanvejsilp, P., Department of Pharmacy Administration, Faculty of Pharmaceutical Sciences, Prince of Songkla University, Hat Yai, Songkhla, Thailand; Taychakhoonavudh, S., Faculty of Pharmaceutical Sciences, Chulalongkorn University, Bangkok, Thailand, Thailand; Chaikledkaew, U., Social Administrative Pharmacy Excellence Research Unit, Department of Pharmacy, Faculty of Pharmacy, Mahidol University, Bangkok, Thailand, Thailand, Health Technology Assessment (HTA) Postgraduate Program, Mahidol University, Bangkok, Thailand, Thailand; Chaiyakunapruk, N., School of Pharmacy, Monash University Malaysia, Selangor, Malaysia, Department of Pharmacy Practice, Faculty of Pharmaceutical Sciences, Center of Pharmaceutical Outcomes Research, Naresuan University, Phitsanulok, Thailand, School of Pharmacy, University of Wisconsin, Madison, WI, United States, Asian Center of Evidence Synthesis in Population, Implementation and Clinical Outcomes, Health and Well-Being Cluster, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Selangor, Malaysia; Ngorsuraches, S., Department of Health Outcomes Research and Policy, Harrison School of Pharmacy, Auburn University, Auburn, AL, United States",Article,"Final",,Scopus,2-s2.0-85059820426
"Namazi H., Jafari S.","55308641800;55196116900;","Estimating of brain development in newborns by fractal analysis of sleep electroencephalographic (EEG) signal",2019,"Fractals","27","3", 1950021,"","",,10,"10.1142/S0218348X1950021X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059874592&doi=10.1142%2fS0218348X1950021X&partnerID=40&md5=c2f4e1edeee1f9585103854f59eb719f","School of Engineering, Monash University, Selangor, Malaysia; Faculty of Biomedical Engineering, Amirkabir University of Technology, Tehran, Iran","Namazi, H., School of Engineering, Monash University, Selangor, Malaysia; Jafari, S., Faculty of Biomedical Engineering, Amirkabir University of Technology, Tehran, Iran",Article,"Final",,Scopus,2-s2.0-85059874592
"Pradhan R.P., Arvin M.B., Nair M., Bennett S.E., Bahmani S.","24491031600;6603579845;7202870882;56973310600;26030899000;","Short-term and long-term dynamics of venture capital and economic growth in a digital economy: A study of European countries",2019,"Technology in Society","57",,,"125","134",,1,"10.1016/j.techsoc.2018.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059329603&doi=10.1016%2fj.techsoc.2018.11.002&partnerID=40&md5=55046f09c50059ec9ede2bf9cafcd1d5","Vinod Gupta School of Management, Indian Institute of Technology, Kharagpur, WB  721302, India; Department of Economics, Trent University, Peterborough, Ontario  K9L 0G2, Canada; School of Business and Global Asia in the 21st Century Research Platform Monash University Malaysia, Jalan Lagoon Selatan47500, Malaysia; College of Business, University of Lynchburg, Lynchburg, VA  24501, United States; Department of Economics, University of Wisconsin-Parkside, Kenosha, WI  53144, United States","Pradhan, R.P., Vinod Gupta School of Management, Indian Institute of Technology, Kharagpur, WB  721302, India; Arvin, M.B., Department of Economics, Trent University, Peterborough, Ontario  K9L 0G2, Canada; Nair, M., School of Business and Global Asia in the 21st Century Research Platform Monash University Malaysia, Jalan Lagoon Selatan47500, Malaysia; Bennett, S.E., College of Business, University of Lynchburg, Lynchburg, VA  24501, United States; Bahmani, S., Department of Economics, University of Wisconsin-Parkside, Kenosha, WI  53144, United States",Article,"Final",,Scopus,2-s2.0-85059329603
"Namazi H., Ala T.S.","55308641800;57208256844;","Decoding of simple and compound limb motor imagery movements by fractal analysis of electroencephalogram (EEG) signal",2019,"Fractals","27","3", 1950041,"","",,3,"10.1142/S0218348X19500415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064279429&doi=10.1142%2fS0218348X19500415&partnerID=40&md5=3416f05dc84736559c374a8b5a2b51a7","School of Engineering, Monash University, Selangor, Malaysia; Hearing Sciences (Scottish Section), Division of Clinical Neuroscience, School of Medicine, University of Nottingham, Glasgow, United Kingdom","Namazi, H., School of Engineering, Monash University, Selangor, Malaysia; Ala, T.S., Hearing Sciences (Scottish Section), Division of Clinical Neuroscience, School of Medicine, University of Nottingham, Glasgow, United Kingdom",Article,"Final",,Scopus,2-s2.0-85064279429
"Mahmood S., Shah K.U., Khan T.M., Nawaz S., Rashid H., Baqar S.W.A., Kamran S.","57200281709;55682654646;35176118000;57203684402;57208871050;57203689547;57203686498;","Non-pharmacological management of hypertension: in the light of current research",2019,"Irish Journal of Medical Science","188","2",,"437","452",,,"10.1007/s11845-018-1889-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052617766&doi=10.1007%2fs11845-018-1889-8&partnerID=40&md5=31e8fddf7a66319610e9a735baf73371","Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan; Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan; School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia","Mahmood, S., Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan, Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan; Shah, K.U., Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan, Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan; Khan, T.M., School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Nawaz, S., Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan, Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan; Rashid, H., Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan, Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan; Baqar, S.W.A., Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan, Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan; Kamran, S., Department of Pharmacy, Quaid-i-Azam University, Islamabad, 45320, Pakistan, Department of Pharmacy, Quaid-e-Azam University, Islamabad, 45320, Pakistan",Review,"Final",,Scopus,2-s2.0-85052617766
"Pipanmekaporn T., Bunchungmongkol N., Punjasawadwong Y., Lapisatepun W., Tantraworasin A., Saokaew S.","54795582200;22955570900;12139154400;25632242200;55090086500;34969613100;","A risk score for predicting respiratory complications after thoracic surgery",2019,"Asian Cardiovascular and Thoracic Annals","27","4",,"278","287",,,"10.1177/0218492319835994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062936345&doi=10.1177%2f0218492319835994&partnerID=40&md5=3eb184add940bb666f1b76f56cd05f4b","Department of Anesthesiology, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Clinical Epidemiology and Clinical Statistic Center, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Department of Surgery, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Center of Health Outcomes Research and Therapeutic Safety, School of Pharmaceutical Sciences, University of Phayao, Thailand; Center of Pharmaceutical Outcome Research (CPOR), Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand; Unit of Excellence on Herbal Medicine, School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand; School of Phamacy, Monash University Malaysia, Malaysia","Pipanmekaporn, T., Department of Anesthesiology, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand, Clinical Epidemiology and Clinical Statistic Center, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Bunchungmongkol, N., Department of Anesthesiology, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Punjasawadwong, Y., Department of Anesthesiology, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Lapisatepun, W., Department of Anesthesiology, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Tantraworasin, A., Clinical Epidemiology and Clinical Statistic Center, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand, Department of Surgery, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand; Saokaew, S., Center of Health Outcomes Research and Therapeutic Safety, School of Pharmaceutical Sciences, University of Phayao, Thailand, Center of Pharmaceutical Outcome Research (CPOR), Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand, Unit of Excellence on Herbal Medicine, School of Pharmaceutical Sciences, University of Phayao, Phayao, Thailand, School of Phamacy, Monash University Malaysia, Malaysia",Article,"Final",,Scopus,2-s2.0-85062936345
"Khan S., Nazir M., Raiz N., Saleem M., Zengin G., Fazal G., Saleem H., Mukhtar M., Tousif M.I., Tareen R.B., Abdallah H.H., Mahomoodally F.M.","57202301355;26321748000;57205553519;55431412600;8411629800;57205558311;56735957200;57202309908;55891298500;6602826587;26421948400;57193732515;","Phytochemical profiling, in vitro biological properties and in silico studies on Caragana ambigua stocks (Fabaceae): A comprehensive approach",2019,"Industrial Crops and Products","131",,,"117","124",,2,"10.1016/j.indcrop.2019.01.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060537562&doi=10.1016%2fj.indcrop.2019.01.044&partnerID=40&md5=941f68dc7108b1b3c993c83c88d7a999","Department of Chemistry, Baghdad-ul-Jadeed Campus, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Department of Chemistry, Government Sadiq College Women University, Bahawalpur, Bahawalpur, 63100, Pakistan; Selcuk University, Science Faculty, Department of Biology, Konya, Turkey; School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; Department of Chemistry, Dera Ghazi Khan Campus, University of Education Lahore, Dera Ghazi Khan, 32200, Pakistan; Department of Botany, Baluchistan University Quetta, Pakistan; School of Pharmacy, Universiti Sains Malaysia, Penang, Malaysia; Chemistry Department, College of Education, Salahaddin University, Erbil, Iraq; Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius","Khan, S., Department of Chemistry, Baghdad-ul-Jadeed Campus, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Nazir, M., Department of Chemistry, Government Sadiq College Women University, Bahawalpur, Bahawalpur, 63100, Pakistan; Raiz, N., Department of Chemistry, Baghdad-ul-Jadeed Campus, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Saleem, M., Department of Chemistry, Baghdad-ul-Jadeed Campus, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Zengin, G., Selcuk University, Science Faculty, Department of Biology, Konya, Turkey; Fazal, G., Department of Chemistry, Baghdad-ul-Jadeed Campus, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Saleem, H., School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; Mukhtar, M., Department of Chemistry, Baghdad-ul-Jadeed Campus, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan; Tousif, M.I., Department of Chemistry, Dera Ghazi Khan Campus, University of Education Lahore, Dera Ghazi Khan, 32200, Pakistan; Tareen, R.B., Department of Botany, Baluchistan University Quetta, Pakistan; Abdallah, H.H., School of Pharmacy, Universiti Sains Malaysia, Penang, Malaysia, Chemistry Department, College of Education, Salahaddin University, Erbil, Iraq; Mahomoodally, F.M., Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius",Article,"Final",,Scopus,2-s2.0-85060537562
"Pourshahrestani S., Zeimaran E., Kadri N.A., Gargiulo N., Jindal H.M., Hasikin K., Naveen S.V., Sekaran S.D., Kamarul T.","55866895100;55750160000;24447804500;22834158500;55208467400;26632954500;55634047600;57203913156;24172753400;","Elastomeric biocomposite of silver-containing mesoporous bioactive glass and poly(1,8-octanediol citrate): Physiochemistry and in vitro antibacterial capacity in tissue engineering applications",2019,"Materials Science and Engineering C","98",,,"1022","1033",,,"10.1016/j.msec.2019.01.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060260861&doi=10.1016%2fj.msec.2019.01.022&partnerID=40&md5=eb2088ae7688d309a1a9862cae73ace6","Department of Biomedical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; School of Engineering, Monash University, Bandar Sunway, Selangor  47500, Malaysia; ACLabs - Laboratori di Chimica Applicata, Dipartimento di Ingegneria Chimica, dei Materiali e della Produzione Industriale, Università Federico II, P.le Tecchio 80, Napoli, 80125, Italy; CeSMA–Centro di Servizi Metrologici e Tecnologici Avanzati, Università Federico II, Corso N. Protopisani, Napoli, 80146, Italy; Department of Medical Microbiology, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; GLR Laboratories Pvt Ltd., Mathur, Chennai, 600068, India; Faculty of Medicine, Mahsa University College, Kuala Lumpur, 50603, Malaysia; Tissue Engineering Group (TEG), National Orthopaedic Centre of Excellence in Research and Learning (NOCERAL), Department of Orthopaedic Surgery, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia","Pourshahrestani, S., Department of Biomedical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Zeimaran, E., School of Engineering, Monash University, Bandar Sunway, Selangor  47500, Malaysia; Kadri, N.A., Department of Biomedical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Gargiulo, N., ACLabs - Laboratori di Chimica Applicata, Dipartimento di Ingegneria Chimica, dei Materiali e della Produzione Industriale, Università Federico II, P.le Tecchio 80, Napoli, 80125, Italy, CeSMA–Centro di Servizi Metrologici e Tecnologici Avanzati, Università Federico II, Corso N. Protopisani, Napoli, 80146, Italy; Jindal, H.M., Department of Medical Microbiology, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia; Hasikin, K., Department of Biomedical Engineering, Faculty of Engineering, University of Malaya, Kuala Lumpur, 50603, Malaysia; Naveen, S.V., GLR Laboratories Pvt Ltd., Mathur, Chennai, 600068, India; Sekaran, S.D., Faculty of Medicine, Mahsa University College, Kuala Lumpur, 50603, Malaysia; Kamarul, T., Tissue Engineering Group (TEG), National Orthopaedic Centre of Excellence in Research and Learning (NOCERAL), Department of Orthopaedic Surgery, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia",Article,"Final",,Scopus,2-s2.0-85060260861
"Saleh M.A., Ali M.Y., Quazi A., Blackman D.","55534882600;35118535900;8512919400;8318062100;","Buyer-supplier relational paradigm in internationalization process: An Asian emerging country perspective",2019,"Journal of Enterprise Information Management","32","2",,"274","300",,,"10.1108/JEIM-08-2018-0184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059913054&doi=10.1108%2fJEIM-08-2018-0184&partnerID=40&md5=66eca6a4661f0b45dc17b560a6fe83f5","School of Management, University of Canberra, Canberra, Australia; School of Business, Monash University Malaysia, Bandar Sunway, Malaysia; School of Business, University of New South Wales, ADFA, Canberra, Australia","Saleh, M.A., School of Management, University of Canberra, Canberra, Australia; Ali, M.Y., School of Business, Monash University Malaysia, Bandar Sunway, Malaysia; Quazi, A., School of Management, University of Canberra, Canberra, Australia; Blackman, D., School of Business, University of New South Wales, ADFA, Canberra, Australia",Article,"Final",,Scopus,2-s2.0-85059913054
